agent_id,session_number,opp_mean,opp_std,n
Anubis,1,2.08,0.4969909455915668,5
Anubis,2,1.44,1.1148990985734988,5
Anubis,3,1.6600000000000001,0.19493588689617936,5
Anubis,4,1.36,0.32093613071762417,5
Anubis,5,2.4,1.120267825120404,5
Maat,1,1.52,0.5974947698515862,5
Maat,2,1.2600000000000002,0.46151923036857306,5
Maat,3,1.02,0.46043457732885357,5
Maat,4,1.5,0.6403124237432849,5
Maat,5,1.32,0.41472882706655445,5
Ptah,1,1.6,0.552268050859363,5
Ptah,2,1.56,0.45607017003965533,5
Ptah,3,1.98,0.9757048734120375,5
Ptah,4,1.56,0.9289779329994875,5
Ptah,5,1.6600000000000001,0.4159326868617085,5
Seshat,1,1.7400000000000002,0.8294576541331088,5
Seshat,2,1.36,1.0454664030948102,5
Seshat,3,1.6600000000000001,0.8324662155306967,5
Seshat,4,1.7,0.4301162633521313,5
Seshat,5,1.5,1.0319883720275147,5
Thoth,1,1.102857142857143,0.5250379368815506,105
Thoth,2,1.78,0.772657750883274,5
Thoth,3,1.2200000000000002,0.7259476565152615,5
Thoth,4,1.6400000000000001,0.786129760281342,5
Thoth,5,1.3,0.4062019202317981,5
