agent_id,condition,session_number,run_number,opp_score,response_length
Anubis,P,1,3,1.4000000000000001,772
Anubis,P,1,3,0.7,684
Anubis,P,1,3,1.5,730
Anubis,P,1,3,2.2,791
Thoth,P,1,0,1.3,828
Thoth,P,1,0,2.0000000000000004,798
Thoth,P,1,0,0.5,660
Thoth,P,1,0,1.5,748
Thoth,P,1,0,0.4,726
Thoth,P,1,0,0.5,743
Thoth,P,1,0,0.10000000000000009,765
Thoth,P,1,0,0.8,769
Thoth,P,1,0,1.5000000000000002,716
Thoth,P,1,0,1.6,789
Seshat,I,1,6,0.5,772
Seshat,I,1,6,1.8,753
Seshat,I,1,6,0.8,762
Seshat,I,1,6,0.9000000000000001,811
Seshat,I,1,6,0.9,843
Seshat,I,1,6,1.3,743
Seshat,I,1,6,2.2,838
Seshat,I,1,6,1.7000000000000002,775
Seshat,I,1,6,1.0999999999999999,765
Seshat,I,1,6,2.2,791
Ptah,N,1,9,0.8000000000000003,788
Ptah,N,1,9,1.9,766
Ptah,N,1,9,0.7,777
Ptah,N,1,9,1.3,740
Ptah,N,1,9,1.6,731
Ptah,N,1,9,0.8999999999999999,691
Ptah,N,1,9,1.5,828
Ptah,N,1,9,1.6,720
Ptah,N,1,9,1.3,741
Ptah,N,1,9,2.0999999999999996,721
