agent,week1_opp,week5_opp,change,pct_change
Anubis,2.08,2.4,0.31999999999999984,15.384615384615378
Thoth,1.102857142857143,1.3,0.19714285714285706,17.875647668393775
Ptah,1.6,1.6600000000000001,0.06000000000000005,3.7500000000000036
Maat,1.52,1.32,-0.19999999999999996,-13.157894736842103
Seshat,1.7400000000000002,1.5,-0.2400000000000002,-13.793103448275874
